X_rate_change,clean_air,clean_environ,health_training,school_awareness,media_awareness,sub_counselling,region,local_authority_type
0.000689061,0.290076336,0.129770992,0.145038168,0.160305344,0.20610687,0.06870229,North East,metropolitan_borough
0.00025753,0.106753813,0.202614379,0.043572985,0.302832244,0.250544662,0.093681917,South West,non_metropolitan_county
0.000610508,0.268156425,0.351955307,0.033519553,0.229050279,0.055865922,0.061452514,London,london_borough
0.001014485,0.159763314,0.266272189,0.118343195,0.25443787,0.130177515,0.071005917,London,london_borough
0.000237127,0.313131313,0.202020202,0.070707071,0.212121212,0.101010101,0.101010101,North West,unitary_authority
0.000310038,0.231404959,0.214876033,0.107438017,0.297520661,0.115702479,0.033057851,London,london_borough
0.000145888,0.166964286,0.225892857,0.108928571,0.2375,0.18125,0.079464286,South East,non_metropolitan_county
0.000659372,0.20441989,0.160220994,0.071823204,0.193370166,0.287292818,0.082872928,London,london_borough
0.000734828,0.22513089,0.188481675,0.020942408,0.32460733,0.089005236,0.151832461,London,london_borough
0.000249771,0.415730337,0.157303371,0.078651685,0.191011236,0.078651685,0.078651685,North East,unitary_authority
0.00045239,0.213270142,0.180094787,0.151658768,0.341232227,0.075829384,0.037914692,London,london_borough
0.000191838,0.033333333,0.425,0.108333333,0.35,0.05,0.033333333,West Midlands,unitary_authority
0.000125715,0.268539326,0.276404494,0.114606742,0.202247191,0.048314607,0.08988764,East of England,non_metropolitan_county
0.000455453,0.23923445,0.291866029,0.086124402,0.296650718,0.043062201,0.043062201,London,london_borough
0.000470818,0.252631579,0.331578947,0.042105263,0.210526316,0.115789474,0.047368421,London,london_borough
0.0004687,0.2,0.275,0.075,0.2,0.183333333,0.066666667,South East,unitary_authority
0.000707989,0.242857143,0.321428571,0.092857143,0.192857143,0.135714286,0.014285714,London,london_borough
0.000816536,0.253846154,0.323076923,0.076923077,0.153846154,0.146153846,0.046153846,London,london_borough
0.000124977,0.237606838,0.284615385,0.071794872,0.248717949,0.103418803,0.053846154,South East,non_metropolitan_county
0.000313002,0.115,0.25,0.115,0.315,0.13,0.075,Yorkshire and the Humber,unitary_authority
0.000770309,0.230215827,0.28057554,0.09352518,0.151079137,0.201438849,0.043165468,London,london_borough
0.000458731,0.057575758,0.412121212,0.154545455,0.209090909,0.103030303,0.063636364,Yorkshire and the Humber,metropolitan_borough
0.000513955,0.141666667,0.275,0.108333333,0.266666667,0.175,0.033333333,North West,metropolitan_borough
0.000763746,0.223076923,0.426923077,0.123076923,0.061538462,0.057692308,0.107692308,London,london_borough
0.000391735,0.225,0.365,0.05125,0.20375,0.04125,0.11375,North West,non_metropolitan_county
0.000448857,0.216363636,0.312727273,0.04,0.296363636,0.114545455,0.02,Yorkshire and the Humber,metropolitan_borough
0.000273848,0.261410788,0.394190871,0.058091286,0.141078838,0.062240664,0.082987552,East Midlands,unitary_authority
0.000256319,0.265795207,0.061002179,0.145969499,0.302832244,0.05664488,0.167755991,East Midlands,non_metropolitan_county
0.000673399,0.144444444,0.305555556,0.166666667,0.244444444,0.033333333,0.105555556,London,london_borough
0.000102811,0.238289206,0.124236253,0.091649695,0.307535642,0.156822811,0.081466395,East Midlands,non_metropolitan_county
0.000700904,0.293548387,0.141935484,0.119354839,0.193548387,0.212903226,0.038709677,North West,metropolitan_borough
0.000183451,0.371428571,0.064285714,0.107142857,0.228571429,0.1,0.128571429,East of England,unitary_authority
0.000363433,0.339407745,0.157175399,0.125284738,0.243735763,0.063781321,0.070615034,North West,metropolitan_borough
0.000158242,0.257894737,0.173684211,0.052631579,0.268421053,0.173684211,0.073684211,South East,unitary_authority
0.000679257,0.2375,0.34375,0.05,0.1875,0.14375,0.0375,London,london_borough
0.000245168,0.188118812,0.326732673,0.099009901,0.168316832,0.128712871,0.089108911,North East,unitary_authority
-0.000137445,0.138095238,0.252380952,0.10952381,0.366666667,0.042857143,0.09047619,South East,unitary_authority
0.000342391,0.063636364,0.118181818,0.090909091,0.509090909,0.122727273,0.095454545,North East,metropolitan_borough
0.000665322,0.155,0.225,0.11,0.27,0.155,0.085,London,london_borough
0.000236008,0.229402262,0.224555735,0.158319871,0.180936995,0.140549273,0.066235864,East of England,non_metropolitan_county
0.00021931,0.227272727,0.127272727,0.063636364,0.290909091,0.227272727,0.063636364,Yorkshire and the Humber,unitary_authority
0.000279727,0.241134752,0.262411348,0.120567376,0.241134752,0.056737589,0.078014184,Yorkshire and the Humber,unitary_authority
0.000101498,0.1625,0.2,0.15,0.3125,0.05625,0.11875,South West,unitary_authority
0.000387769,0.286666667,0.34,0.1,0.146666667,0.08,0.046666667,North East,metropolitan_borough
0.000312985,0.116564417,0.288343558,0.022494888,0.222903885,0.220858896,0.128834356,Yorkshire and the Humber,non_metropolitan_county
0.00019944,0.396610169,0.133898305,0.147457627,0.057627119,0.120338983,0.144067797,East Midlands,non_metropolitan_county
0.000426022,0.270833333,0.270833333,0.0875,0.166666667,0.108333333,0.095833333,North East,unitary_authority
8.89E-05,0.20361991,0.190045249,0.104072398,0.371040724,0.099547511,0.031674208,East Midlands,unitary_authority
9.71E-05,0.253308129,0.238185255,0.132325142,0.313799622,0.024574669,0.037807183,East Midlands,non_metropolitan_county
0.000660904,0.127777778,0.344444444,0.1,0.211111111,0.116666667,0.1,North West,metropolitan_borough
0.000314471,0.178890877,0.454382826,0.109123435,0.005366726,0.191413238,0.060822898,South East,non_metropolitan_county
0.000151666,0.138461538,0.407692308,0.084615385,0.169230769,0.146153846,0.053846154,East of England,unitary_authority
0.000135355,0.148325359,0.267942584,0.033492823,0.272727273,0.186602871,0.090909091,South West,unitary_authority
0.000198276,0.16,0.2,0.15,0.38,0.06,0.05,South West,unitary_authority
0.000240217,0.209876543,0.135802469,0.148148148,0.25308642,0.166666667,0.086419753,South East,unitary_authority
0.000103615,0.3,0.272727273,0.090909091,0.2,0.054545455,0.081818182,South East,unitary_authority
0.000653412,0.045,0.33,0.095,0.33,0.1,0.1,London,london_borough
0.000214088,0.336134454,0.243697479,0.042016807,0.159663866,0.109243697,0.109243697,North East,unitary_authority
0.000763024,0.184615385,0.3,0.123076923,0.223076923,0.092307692,0.076923077,London,london_borough
0.000733796,0.228571429,0.142857143,0.078571429,0.307142857,0.142857143,0.1,North West,metropolitan_borough
0.000157892,0.271428571,0.304761905,0.09047619,0.204761905,0.09047619,0.038095238,Yorkshire and the Humber,metropolitan_borough
-0.000291642,0.333333333,0.098039216,0.156862745,0.274509804,0.098039216,0.039215686,East Midlands,unitary_authority
0.000350322,0.206349206,0.169312169,0.005291005,0.380952381,0.137566138,0.100529101,North West,metropolitan_borough
0.000312373,0.204,0.344,0.14,0.168,0.076,0.068,West Midlands,metropolitan_borough
0.000441511,0.331818182,0.281818182,0.109090909,0.136363636,0.063636364,0.077272727,North West,metropolitan_borough
0.000437352,0.302325581,0.304651163,0.046511628,0.193023256,0.062790698,0.090697674,Yorkshire and the Humber,metropolitan_borough
0.000251961,0.108225108,0.359307359,0.112554113,0.164502165,0.207792208,0.047619048,West Midlands,unitary_authority
0.000401082,0.136363636,0.136363636,0.145454545,0.245454545,0.136363636,0.2,South East,unitary_authority
9.36E-05,0.234899329,0.389261745,0.067114094,0.234899329,0.040268456,0.033557047,West Midlands,metropolitan_borough
0.000185152,0.298405467,0.23690205,0.082004556,0.13667426,0.138952164,0.107061503,South West,non_metropolitan_county
0.000184794,0.147619048,0.385714286,0.085714286,0.2,0.128571429,0.052380952,South West,unitary_authority
0.0003423,0.123076923,0.361538462,0.130769231,0.269230769,0.038461538,0.076923077,North East,metropolitan_borough
3.17E-05,0.141361257,0.183246073,0.130890052,0.345549738,0.130890052,0.068062827,South East,unitary_authority
0.000160526,0.218487395,0.344537815,0.025210084,0.25210084,0.075630252,0.084033613,East of England,unitary_authority
0.000813901,0.108597285,0.257918552,0.095022624,0.28959276,0.14479638,0.104072398,London,london_borough
0.000181611,0.251798561,0.28057554,0.107913669,0.287769784,0.050359712,0.021582734,North West,metropolitan_borough
0.000217644,0.281639929,0.308377897,0.062388592,0.176470588,0.106951872,0.064171123,West Midlands,non_metropolitan_county
0.000474216,0.195454545,0.209090909,0.090909091,0.295454545,0.131818182,0.077272727,North West,metropolitan_borough
0.000343499,0.24375,0.25,0.1,0.2375,0.1125,0.05625,North East,unitary_authority
2.64E-05,0.19,0.285,0.035,0.305,0.125,0.06,West Midlands,unitary_authority
6.16E-05,0.298747764,0.202146691,0.073345259,0.254025045,0.076923077,0.094812165,East of England,non_metropolitan_county
0.000370207,0.261538462,0.280769231,0.019230769,0.242307692,0.123076923,0.073076923,North East,metropolitan_borough
1.84E-05,0.216831683,0.251485149,0.048514851,0.336633663,0.101980198,0.044554455,South East,non_metropolitan_county
0.000607737,0.3375,0.09375,0.1125,0.28125,0.0875,0.0875,London,london_borough
0.000175842,0.32,0.173333333,0.126666667,0.186666667,0.12,0.073333333,South West,unitary_authority
0.00063478,0.064327485,0.239766082,0.169590643,0.251461988,0.198830409,0.076023392,North West,metropolitan_borough
0.000109395,0.127272727,0.036363636,0.081818182,0.445454545,0.236363636,0.072727273,West Midlands,unitary_authority
0.000138473,0.175,0.3,0.258333333,0.15,0.091666667,0.025,East of England,unitary_authority
-9.64E-05,0.26446281,0.26446281,0.123966942,0.132231405,0.132231405,0.082644628,South West,unitary_authority
0.000738809,0.171428571,0.333333333,0.1,0.20952381,0.1,0.085714286,London,london_borough
0.000374396,0.146666667,0.193333333,0.086666667,0.266666667,0.22,0.086666667,North West,metropolitan_borough
0.000448144,0.079166667,0.4375,0.075,0.233333333,0.0625,0.1125,Yorkshire and the Humber,metropolitan_borough
0.000412649,0.208955224,0.23880597,0.054726368,0.23880597,0.139303483,0.119402985,West Midlands,metropolitan_borough
0.000551612,0.216666667,0.177777778,0.066666667,0.305555556,0.144444444,0.088888889,London,london_borough
0.000501618,0.215,0.15,0.085,0.295,0.16,0.095,London,london_borough
0.000353108,0.244444444,0.055555556,0.105555556,0.288888889,0.188888889,0.116666667,North West,unitary_authority
0.000142631,0.193181818,0.338636364,0.120454545,0.145454545,0.109090909,0.093181818,West Midlands,non_metropolitan_county
8.27E-05,0.042553191,0.262411348,0.14893617,0.319148936,0.113475177,0.113475177,South East,unitary_authority
0.00007828,0.25,0.324285714,0.09,0.098571429,0.135714286,0.101428571,South East,non_metropolitan_county
0.000693699,0.08,0.43,0.12,0.18,0.085,0.105,London,london_borough
0.000546688,0.288461538,0.246153846,0.1,0.188461538,0.119230769,0.057692308,North West,metropolitan_borough
-9.82E-05,0.028947368,0.415789474,0.028947368,0.328947368,0.076315789,0.121052632,South West,unitary_authority
0.00026427,0.3,0.336363636,0.118181818,0.1,0.109090909,0.036363636,South East,unitary_authority
0.000487498,0.330143541,0.224880383,0.14354067,0.196172249,0.066985646,0.038277512,North West,metropolitan_borough
0.00027384,0.183486239,0.376146789,0.119266055,0.174311927,0.091743119,0.055045872,South East,unitary_authority
0.000529788,0.089552239,0.134328358,0.114427861,0.273631841,0.248756219,0.139303483,West Midlands,metropolitan_borough
0.000221893,0.272340426,0.238297872,0.121276596,0.161702128,0.142553191,0.063829787,West Midlands,non_metropolitan_county
0.000705296,0.035714286,0.278571429,0.057142857,0.228571429,0.264285714,0.135714286,Yorkshire and the Humber,unitary_authority
